date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:48:50	419879/419879	---MCZ	200	added ('OK')	text/css	date:Fri,%2003%20May%202024%2016:01:06%20GMT	https://cis.wakavaping.com/cdn/shop/t/2/assets/theme.min.css?v=166738682801678347261705510229	E:/waka/cis.wakavaping.com/cdn/shop/t/2/assets/theme.min2c6e.css	(from https://cis.wakavaping.com/)
14:48:50	3183/3183	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2023%20May%202024%2011:48:50%20GMT	https://cis.wakavaping.com/checkouts/internal/preloads.js?locale=en-HK	E:/waka/cis.wakavaping.com/checkouts/internal/preloads1665.js	(from https://cis.wakavaping.com/)
14:48:51	0/0	---M--	200	added ('OK')	application/javascript	date:Thu,%2023%20May%202024%2011:48:51%20GMT	https://shop.app/checkouts/internal/preloads.js?locale=en-HK&shop_id=85577629997	E:/waka/shop.app/checkouts/internal/preloads.11c726.delayed	(from https://cis.wakavaping.com/)
14:48:52	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20May%202024%2011:48:51%20GMT	http://cis.wakavaping.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-9f951eb7d8d53973c719de211f807d63af81c644e5b9a6ae72661ac408d472f6.js	E:/waka/cis.wakavaping.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-9f951eb7d8d53973c719de211f807d63af81c644e5b9a6ae72661ac408d472f6.js	(from https://cis.wakavaping.com/)
14:48:52	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20May%202024%2011:48:52%20GMT	http://cis.wakavaping.com/cdn/shopifycloud/shopify/assets/storefront/features-1c0b396bd4d054b94abae1eb6a1bd6ba47beb35525c57a217c77a862ff06d83f.js	E:/waka/cis.wakavaping.com/cdn/shopifycloud/shopify/assets/storefront/features-1c0b396bd4d054b94abae1eb6a1bd6ba47beb35525c57a217c77a862ff06d83f.js	(from https://cis.wakavaping.com/)
14:48:52	12547/12547	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202024%2022:35:51%20GMT	https://cis.wakavaping.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-9f951eb7d8d53973c719de211f807d63af81c644e5b9a6ae72661ac408d472f6.js	E:/waka/cis.wakavaping.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-9f951eb7d8d53973c719de211f807d63af81c644e5b9a6ae72661ac408d472f6.js	(from https://cis.wakavaping.com/)
14:48:53	37678/37678	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202024%2022:53:31%20GMT	https://cis.wakavaping.com/cdn/shopifycloud/shopify/assets/storefront/features-1c0b396bd4d054b94abae1eb6a1bd6ba47beb35525c57a217c77a862ff06d83f.js	E:/waka/cis.wakavaping.com/cdn/shopifycloud/shopify/assets/storefront/features-1c0b396bd4d054b94abae1eb6a1bd6ba47beb35525c57a217c77a862ff06d83f.js	(from https://cis.wakavaping.com/)
14:48:53	138099/138099	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22cacheable:102734f41a5e4cb1e7661d9521cef7f8%22	https://cis.wakavaping.com/POST	E:/waka/cis.wakavaping.com/POST	(from https://cis.wakavaping.com/)
14:48:53	31226/31226	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	etag:W/%22cacheable:102734f41a5e4cb1e7661d9521cef7f8%22	https://cis.wakavaping.com/cdn	E:/waka/cis.wakavaping.com/cdn	(from https://cis.wakavaping.com/)
14:48:55	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20May%202024%2011:48:53%20GMT	http://cis.wakavaping.com/cdn/s/trekkie.storefront.dd626a6a6fbdab104f8779acc4331c330134c832.min.js	E:/waka/cis.wakavaping.com/cdn/s/trekkie.storefront.dd626a6a6fbdab104f8779acc4331c330134c832.min.js	(from https://cis.wakavaping.com/)
14:48:55	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20May%202024%2011:48:55%20GMT	http://cis.wakavaping.com/cdn/shopifycloud/shopify/assets/shop_events_listener-61fa9e0a912c675e178777d2b27f6cbd482f8912a6b0aa31fa3515985a8cd626.js	E:/waka/cis.wakavaping.com/cdn/shopifycloud/shopify/assets/shop_events_listener-61fa9e0a912c675e178777d2b27f6cbd482f8912a6b0aa31fa3515985a8cd626.js	(from https://cis.wakavaping.com/)
